Fabienne Colas
Laurie Colbert
Janis Cole
Cristina Comencini
Nicole Conn
Heather Connell
Lisa Connor
Janice Cooke-Leonard
Martha Coolidge
Nancy Cooperstein
Eleanor Coppola
Sofia Coppola
Cristina Kotz Cornejo
Larissa Corriveau
Catherine Corsini
Helena Cortesina
Ghyslaine Côté
Michèle Cournoyer
Marie-Hélène Cousineau
Courteney Cox
Kelly Fremon Craig
Barbara Cranmer
Judith Crawley
Leanna Creel
Jeanne Crépeau
Nancy Criss
Suzanne Crocker
Emma-Kate Croghan
Caitlin Cronenberg
Catherine Crouch
Fiona Cumming
Carolynne Cunningham
Shelley Curtis
Thirza Cuthand
Cherien Dabis
Nia DaCosta
Eva Dahr
Holly Dale
Marie-Julie Dallaire
Tamela D'Amico
Aimée Danis
Mireille Dansereau
Gia Darling
Joan Darling
Rima Das
Julie Dash
Charlotte Dauphin
Byambasuren Davaa
Dorothy Davenport
Wallace Reid
Marie Davignon
Tamra Davis
Roxann Dawson
Deborah Day
Linda Day
Camille de Casabianca
Laura de Jonge
Maria de Medeiros
Miranda de Pencier
Charlotte de Turckheim
Marina de Van
Autumn de Wilde
Rowan Deacon
Josephine Decker
Tracey Deer
Regine Deforges
Donna Deitch
Katrina del Mar
Julie Delpy
Paula Delsol
Claire Denis
Pouran Derakhshandeh
Sophie Deraspe
Maya Deren
Dhvani Desai
Virginie Despentes
Arundhati Devi
Aminder Dhaliwal
Aishwarya R. Dhanush
Katherine Dieckmann
Susie Dietter
Nia Dinata
Mati Diop
Zoe Dirse
Abigail Disney
Leila Djansi
Assia Djebar
Nana Djordjadze
Shannen Doherty
Gail Dolgin
Trish Dolman
Mary Agnes Donoghue
Mia Donovan
Andrea Dorfman
Anita Doron
Doris Dörrie
Nicole Dorsey
Illeana Douglas
Elissa Down
Rosvita Dransfeld
Polly Draper
Fran Drescher
Marie Dressler
Mr. and Mrs. Sidney Drew
Kate Drummond
Julia Ducournau
Germaine Dulac
Alma Duncan
Lena Dunham
Cheryl Dunye
Sophie Dupuis
Marguerite Duras
Clea DuVall
Ava DuVernay
Gaëlle d'Ynglemare
Christine Edzard
Blessing Effiom Egbe
Michelle Ehlen
Debra Eisenstadt
Jihan El-Tahri
Jan Eliasberg
Phyllis Ellis
Bille Eltringham
Sheri Elwood
Erma Elzy-Jones
Anne Émond
Esther Eng
Diane English
Jackie English
Ildikó Enyedi
Nora Ephron
Marie Epstein
Abby Epstein
Anna Eriksson
Deniz Gamze Ergüven
Claudia Morgado Escanilla
Danishka Esterhazy
Bang Eun-jin
Yasmin Evering-Kerr
Ewa Ewart
Valie Export
Tali Shalom Ezer
Trey Fanjoy
Mitra Farahani
Danielle Faraldo
Coralie Fargeat
Valerie Faris
Marianne Farley
Vera Farmiga
Forough Farrokhzad
Sepideh Farsi
Safi Faye
Daniela Fejerman
Rachel Feldman
Emerald Fennell
Lynne Fernie
Pascale Ferran
Pepita Ferrari
Sally Field
Chip Fields
Kim Fields
Martha Fiennes
Sophie Fiennes
Denise Filiatrault
Lee Filipovski
Roberta Findlay
Frauke Finsterwalder
Jenna Fischer
Jennifer Flackett
Tracy Flannigan
Luise Fleck
Ann Marie Fleming
Anne Fletcher
Shannon Flynn
Anna Foerster
Susanna Fogel
Cheryl Foggo
Deanne Foley
Sheree Folkson
Megan Follows
Anne Fontaine
Maya Forbes
Amanda Forbis
Victoria Forester
Sadaf Foroughi
Kyllikki Forssell
Sarah Fortin
Amparo Fortuny
Gwendolyn Audrey Foster
Jodie Foster
Kathryn Foster
Lilibet Foster
Tori Foster
Beryl Fox
Jennifer Fox
Sarain Fox
Rana Abu Fraihah
Bonnie Franklin
Raquel Freire
Camelia Frieberg
Liz Friedlander
Kim Friedman
Vivi Friedman
Kim Friedman
Su Friedrich
Shirley Frimpong-Manso
Grete Frische
Sarah Frost
Soleil Moon Frye
Pamela Fryman
Kei Fujiwara
Mellissa Fung
Kelly Fyffe-Marshall
Bethany Joy Galeotti
Maya Gallus
Nisha Ganatra
Liz Garbus
Emmanuelle Schick Garcia
Nicole Garcia
Jennifer Garner
Jem Garrard
Katy Garretson
Jennie Garth
Sarah Baril Gaudet
Karen Gaviola
Julie Gavras
Sarah Gavron
Katrin Gebbe
Ngardy Conteh George
Geretta Geretta
Valeriya Gai Germanika
Greta Gerwig
Jennifer Getzinger
Tina Gharavi
Coky Giedroyc
Maria Giese
Melody Gilbert
Melissa Gilbert
Leah Gilliam
Abby Ginzberg
Tess Girard
Lillian Gish
Ellen Gittelsohn
Rose Glass
Lesli Linka Glatter
Delphine Gleize
Alesia Glidewell
Lana Gogoberidze
Dana Goldberg
Whoopi Goldberg
Valeria Golino
Rosser Goodman
Dennie Gordon
Marleen Gorris
Rachel Goslins
Lisa Gottlieb
Danis Goulet
